country,year,session,NameofPersonSpeaking,president,grade_level,word_count,neg,pos,neu,comp
USA,1946,1,Mr. Austin,0,13.1,6261,.075000003,.30399999,.62099999,1
USA,1947,2,Mr. Marshall,0,14.3,3179,.093000002,.317,.58999997,.99989998
USA,1948,3,Mr. MARSHALL,0,15,3141,.097999997,.30700001,.59600002,.99989998
USA,1949,4,Mr. ACHESON,0,13.5,3102,.086999997,.333,.57999998,.99989998
USA,1950,5,Mr. ACHESON,0,11.4,5206,.12,.32800001,.55199999,1
USA,1951,6,Mr. ACHESON ,0,10.8,4959,.108,.28200001,.61000001,.99989998
USA,1952,7,Mr. ACHESON ,0,11.8,5331,.113,.28400001,.602,.99989998
USA,1953,8,Mr. Dulles,0,9.8999996,4485,.148,.26199999,.58999997,.99980003
USA,1954,9,Mr. DULLES,0,12.5,3747,.12800001,.287,.58499998,.99989998
USA,1955,10,Mr. Dulles,0,12,4476,.096000001,.25600001,.648,.99989998
USA,1956,11,Mr. HOOVER ,0,10.6,2652,.109,.322,.56900001,.99989998
USA,1957,12,Mr. DULLES ,0,11.6,3332,.15800001,.207,.63499999,.99830002
USA,1958,13,Mr. Dulles,0,11.4,3683,.105,.27900001,.61500001,.99989998
USA,1959,14,Mr. Herter,0,11.6,5575,.102,.31600001,.58200002,1
USA,1960,15,Mr. EISENHOWER,1,13,4707,.103,.30700001,.58999997,1
USA,1961,16,Mr. John F. Kennedy,1,10.5,4546,.17200001,.27500001,.55199999,.99980003
USA,1962,17,Mr. STEVENSON ,0,12.7,5500,.116,.303,.58099997,1
USA,1963,18,Mr. John F. Kennedy,1,10.9,3595,.13500001,.26699999,.59799999,.99980003
USA,1964,19,Mr. Stevenson,0,14.8,5548,.131,.257,.61199999,.99989998
USA,1965,20,Mr. GOLDBERG ,0,13,6194,.086000003,.317,.597,1
USA,1966,21,Mr. GOLDBERG,0,13.4,4440,.106,.26899999,.625,.99989998
USA,1967,22,Mr. GOLDBERG,0,12.5,4444,.113,.28099999,.60600001,.99989998
USA,1968,23,Mr. RUSK,0,13.4,4122,.12899999,.292,.57999998,.99989998
USA,1969,24,Mr. RICHARD M. NIXON,1,11.2,3800,.077,.33500001,.588,1
USA,1970,25,Mr. YOST,0,13.8,5662,.078000002,.30399999,.61699998,1
USA,1971,26,Mr. ROGERS,0,11.8,4788,.07,.294,.63599998,1
USA,1972,27,Mr. Rogers ,0,12.1,3772,.145,.23899999,.616,.99959999
USA,1973,28,Kissinger,0,11.2,2641,.116,.28299999,.60100001,.99980003
USA,1974,29,Mr. Kissinger,0,11,4325,.126,.233,.64099997,.99970001
USA,1975,30,Mr.  Kissinger,0,11.3,5415,.116,.296,.58899999,1
USA,1976,31,Mr. Kissinger,0,11.6,6934,.119,.27200001,.60900003,1
USA,1977,32,Jimmy Carter,0,11.9,3367,.13500001,.28999999,.57499999,.99989998
USA,1978,33,Vance,0,11.2,5719,.097999997,.29699999,.60500002,1
USA,1979,34,Vance,0,10.8,4158,.126,.248,.62599999,.99980003
USA,1980,35,Muskie,0,11.8,3425,.12899999,.28099999,.58999997,.99989998
USA,1981,36,Mr Haig ,0,11.6,3508,.081,.324,.59500003,1
USA,1982,37,SHULTZ ,0,10.9,4417,.132,.287,.58099997,.99989998
USA,1983,38,Reagan,0,9.8000002,3235,.141,.30899999,.55000001,.99989998
USA,1984,39,Reagan,1,11.7,4993,.101,.32100001,.57800001,1
USA,1985,40,Mr. Shultz,0,11.2,5457,.134,.266,.60000002,.99989998
USA,1986,41,President Reagan,0,12.7,4016,.141,.28099999,.57700002,.99989998
USA,1987,42,Ronald Reagan,1,9.8000002,3968,.098999999,.301,.59899998,.99989998
USA,1988,43,RONALD REAGAN,1,12.7,4932,.141,.27599999,.583,.99989998
USA,1989,44,Bush,1,8.6999998,3415,.134,.32499999,.54100001,.99989998
USA,1990,45,GEORGE BUSH,1,11.1,2732,.18099999,.226,.59299999,.99739999
USA,1991,46,George Bush,1,11.4,2548,.155,.289,.55599999,.99970001
USA,1992,47,Mr. George BUSH,1,13.4,3271,.121,.317,.56300002,.99989998
USA,1993,48,William Clinton,1,10.8,4841,.149,.27399999,.57700002,.99989998
USA,1994,49,Mr. William Clinton,1,11.2,3211,.15000001,.29899999,.551,.99980003
USA,1995,50,Mr. Christopher,0,11.8,3332,.19400001,.241,.565,.99730003
USA,1996,51,William Jefferson Clinton,1,11.1,2679,.18700001,.27000001,.542,.99910003
USA,1997,52,Bill Clinton,1,13,2940,.133,.31,.55699998,.99989998
USA,1998,53,Bill Clinton,1,10.4,2644,.22400001,.28400001,.49200001,.99809998
USA,1999,54,William J. Clinton,1,10.4,3242,.18000001,.25799999,.56199998,.99919999
USA,2000,55,Madeleine Korbel Albright,0,11.8,2449,.102,.32800001,.56999999,.99989998
USA,2001,56,George W. Bush,1,7.8000002,2478,.31200001,.221,.46700001,-.99970001
USA,2002,57,Mr. George W. Bush,1,10.4,2729,.244,.23100001,.52499998,-.9928
USA,2003,58,George W. Bush,1,9.6000004,2843,.23800001,.252,.50999999,-.838
USA,2004,59,Mr. George W Bush,1,9.3999996,3064,.17900001,.32600001,.495,.99980003
USA,2005,60,Condoleezza Rice,0,10.3,1792,.097000003,.347,.55500001,.99980003
USA,2006,61,Mr. George W. Bush,1,10,2748,.15800001,.30599999,.53600001,.99980003
USA,2007,62,George W. Bush,1,10.2,2446,.145,.30700001,.54900002,.99980003
USA,2008,63,George W. Bush,1,10.9,2852,.17200001,.32600001,.50199997,.99980003
USA,2009,64,Barack Obama,1,10.5,5114,.156,.255,.58899999,.99980003
USA,2010,65,Barack Obama,1,10.6,4073,.127,.27399999,.59799999,.99989998
USA,2011,66,Barack Obama,1,7.6999998,4509,.149,.289,.56199998,.99989998
USA,2012,67,Barack Obama,1,9.6000004,4029,.176,.25799999,.56599998,.99949998
USA,2013,68,Barack Obama,1,11.8,5607,.185,.242,.57300001,.99940002
USA,2014,69,Barack Obama,1,10.1,4556,.22499999,.212,.56300002,-.99830002
USA,2015,70,Barack Obama,1,10.1,4763,.15700001,.26800001,.57499999,.99980003
USA,2016,71,Mr. Barack Obama,1,11.4,5621,.13500001,.24600001,.61900002,.99989998
USA,2017,72,Mr. Donald Trump,1,10.7,4570,.189,.30899999,.50300002,.99989998
USA,2018,73,Mr. Donald Trump,1,9.1999998,3591,.14,.30399999,.55599999,.99989998
USA,2019,74,Mr. Donald Trump,1,9.3000002,3804,.133,.329,.53799999,.99989998
USA,2020,75,Mr. Donald Trump,1,8.3999996,972,.154,.28200001,.565,.99779999
USA,2021,76,Joe Biden,0,12.4,4403,.132,.28,.588,.99989998
USA,2022,77,"Joseph R. Biden, Jr",0,11,3802,.131,.27500001,.59399998,.99989998
USA,2023,78,Joseph R. Biden,1,11.1,3606,.113,.266,.62099999,.99989998
USA,2024,79,Joseph R. Biden,1,6.6999998,3243,.184,.23800001,.57800001,.99760002
USA,2025,80,Donald J. Trump,1,7.5999999,964,.17,.301,.52999997,.9982
